[INFO ] [2022-01-14 09:24:07,078] Open 'CHROME' Browser
[INFO ] [2022-01-14 09:24:33,490] Login_01 - Step 01 : Verify HomePage is displayed
[INFO ] [2022-01-14 09:24:33,558]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-01-14 09:24:33,561] Login_01 - Step 02 : Click to Resiger link
[INFO ] [2022-01-14 09:24:34,980] Login_01 - Step 03 : click to Gender radio button
[INFO ] [2022-01-14 09:24:35,037] Login_01 - Step 04 : Enter To First Name Textbox
[INFO ] [2022-01-14 09:24:35,130] Login_01 - Step 05 : Enter To Last Name Textbox
[INFO ] [2022-01-14 09:24:35,211] Login_01 - Step 06 : Enter To Email Textboxtesting944@gmail.com
[INFO ] [2022-01-14 09:24:35,294] Login_01 - Step 07 : Enter To Password Textbox123456
[INFO ] [2022-01-14 09:24:35,373] Login_01 - Step 08 : Enter To Confirm Password Textbox
[INFO ] [2022-01-14 09:24:35,451] Login_01 - Step 09 : Click To Register Button
[INFO ] [2022-01-14 09:24:37,633] Login_01 - Step 10 : Verify HomePage is displayed
[INFO ] [2022-01-14 09:24:37,667]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-01-14 09:24:40,091] Login_02 - Step 01 : Click To Login Button
[INFO ] [2022-01-14 09:24:40,529] Login_02 - Step 02 : Enter To Email Textbox
[INFO ] [2022-01-14 09:24:40,601] Login_02 - Step 03 : Enter To Password Textbox
[INFO ] [2022-01-14 09:24:40,676] Login_02 - Step 04 : Click To Login Button
[INFO ] [2022-01-14 09:24:42,373]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-01-14 09:24:42,383] Login_03 - Step 01 : Switch to search Page from homepage 
[INFO ] [2022-01-14 09:24:43,732] Login_03 - Step 02 : Switch to My account Page from searchpage 
[INFO ] [2022-01-14 09:24:44,167] Login_03 - Step 03 : Switch to search Page from orderpage 
[INFO ] [2022-01-14 09:24:45,308] Login_03 - Step 04 : Switch to Open Page from My account page 
[INFO ] [2022-01-14 09:24:45,727] Post-condition : Close browser
